,WordList,AverageBitsFromWord
113,aesir,5.6219754484326385
114,afald,3.934340780185137
115,afara,3.3817587158963556
116,afars,4.151173343024244
117,afear,4.460635004220495
118,aflaj,3.1478757429738815
119,afore,5.211487390275229
120,afrit,4.960137115345826
121,afros,4.741808347687514
122,agama,2.9747899075626427
123,agami,3.711892203379833
124,agars,4.264054312021665
125,agast,4.372354826205665
126,agave,3.9748633808910876
127,agaze,3.7402707957844203
128,agene,4.628108574199507
129,agers,5.080021430066841
130,agger,4.362149460986721
131,aggie,4.276415061679476
132,aggri,3.9070355175535436
133,aggro,4.006670236884569
134,aggry,3.8202880013893994
135,aghas,3.7005810938810164
136,agila,4.158611234624879
137,agios,4.692761843009407
138,agism,4.493209384187275
139,agist,4.975231893583697
140,agita,4.159839124915005
141,aglee,4.7419794447767805
142,aglet,5.2594342960457405
143,agley,4.87773868826339
144,agloo,4.039936788745822
145,aglus,4.4726084106492285
146,agmas,3.689577234166728
147,agoge,4.2902232928027635
148,agone,5.121100618728373
149,agons,4.708608157725845
150,agood,3.8979071737297253
151,agria,4.211059886355658
152,agrin,4.883869563346408
153,agros,4.858379600846397
154,agued,4.713532804940859
155,agues,4.838113246895395
156,aguna,3.837241729276198
157,aguti,4.484078567320621
158,aheap,4.263018305170175
159,ahent,5.28856673770995
160,ahigh,3.8110778824405593
161,ahind,4.741805995662531
162,ahing,4.550213648291013
163,ahint,5.08921967970861
164,ahold,4.847120551532765
165,ahull,4.16350459723727
166,ahuru,4.026605544044087
167,aidas,4.254965743913811
168,aided,4.470576113359234
169,aides,5.1943293358293685
170,aidoi,4.030684917143378
171,aidos,4.826546750759974
172,aiery,5.343374719730275
173,aigas,4.164844704205453
174,aight,4.643693358729663
175,ailed,5.354537843637778
176,aimed,4.967188190858419
177,aimer,5.303808894752276
178,ainee,5.084423424609806
179,ainga,4.0745066820402815
180,aioli,4.412947133845572
181,aired,5.474454005054063
182,airer,5.012922783148726
183,airns,5.280129840298627
184,airth,5.226117697011035
185,airts,5.367149473277343
186,aitch,4.846155815238194
187,aitus,4.916924716575783
188,aiver,5.03353445597201
189,aiyee,4.789157755329346
190,aizle,4.826161092350181
191,ajies,4.611023552416589
192,ajiva,3.013454356785876
193,ajuga,3.0639759703955445
194,ajwan,3.099326218941605
195,akees,4.402393679070816
196,akela,4.218310810402368
197,akene,4.517404139665309
198,aking,4.223233225944146
199,akita,4.027637669750143
200,akkas,2.9875813721909568
201,alaap,3.617250989036647
202,alack,4.050804222501743
203,alamo,4.281166102072126
204,aland,4.462146128095576
205,alane,5.068286395318961
206,alang,4.265336870574366
207,alans,4.587229011536113
208,alant,4.793222363182423
209,alapa,3.537874548017912
210,alaps,4.3145566316547335
211,alary,4.59075776454868
212,alate,5.150347509039097
213,alays,4.296824057283338
214,albas,4.142658929209942
215,albee,4.823049308178183
216,alcid,4.835812168500783
217,alcos,4.977827747163199
218,aldea,4.63656452678574
219,alder,5.437235054058483
220,aldol,4.342214914244493
221,aleck,4.8343901359586505
222,alecs,5.298688871762252
223,alefs,4.9154251726164055
224,aleft,5.1209438716266344
225,aleph,4.995866610415043
226,alews,4.89463462220368
227,aleye,4.805384513571377
228,alfas,4.031337437688938
229,algal,3.5926784090031028
230,algas,4.197809828501711
231,algid,4.696463146806137
232,algin,4.85796670822183
233,algor,5.106496231235725
234,algum,4.335529768442264
235,alias,4.614224611556034
236,alifs,4.710323969439147
237,aline,5.6372221634881825
238,alist,5.479817673820733
239,aliya,4.267300029844488
240,alkie,5.102295630341293
241,alkos,4.644402557719796
242,alkyd,4.1497782770898795
243,alkyl,3.6743999494584116
244,allee,4.517164935674353
245,allel,4.057401591387752
246,allis,4.4771684782201255
247,allod,4.336422899332177
248,allyl,3.346244677965125
249,almah,4.064753579640146
250,almas,4.196643176890828
251,almeh,5.043156179290135
252,almes,5.175541581666636
253,almud,4.477904469370324
254,almug,4.331220187658618
255,alods,4.941354820037281
256,aloed,5.391036624925231
257,aloes,5.525798396991686
258,aloha,4.269992726237538
259,aloin,5.219278226888251
260,aloos,4.5213813909902285
261,alowe,5.103270364694868
262,altho,4.918842607673253
263,altos,5.220324482465204
264,alula,3.6597651387995342
265,alums,4.656184410623928
266,alure,5.5943580704236675
267,alvar,4.225619600977763
268,alway,3.8669397881477794
269,amahs,3.8508426744084967
270,amain,4.230562985789361
271,amate,4.703825114258985
272,amaut,4.186615280504141
273,amban,3.741293859323008
274,ambit,4.529546039869196
275,ambos,4.299177026484425
276,ambry,4.327163655566972
277,ameba,3.8843763079583464
278,ameer,4.782621669941698
279,amene,4.677004048343481
280,amens,4.938415131376733
281,ament,5.136716132049394
282,amias,4.1613332942817545
283,amice,5.118262224724851
284,amici,3.843731533158508
285,amide,4.963437757497761
286,amido,4.48106955898996
287,amids,4.487061799055322
288,amies,5.10095849583581
289,amiga,3.7838232099776663
290,amigo,4.398956559379142
291,amine,5.187994013691689
292,amino,4.703353772730761
293,amins,4.73117058728853
294,amirs,4.922208907397141
295,amlas,4.112126578637346
296,amman,3.2695745871654758
297,ammon,3.895842498745441
298,ammos,3.8520883522751252
299,amnia,4.038580182162848
300,amnic,4.495330277051668
301,amnio,4.644756084277743
302,amoks,4.252718589126494
303,amole,5.266357433200131
304,amort,5.166610431251852
305,amour,4.848053569807022
306,amove,4.571407281719516
307,amowt,4.4391485894385125
308,amped,4.6136403956732215
309,ampul,4.345893291349173
310,amrit,5.110209766537871
311,amuck,3.9873887954759946
312,amyls,4.477722307204688
313,anana,2.93561554395087
314,anata,3.759832761616224
315,ancho,4.516861770177751
316,ancle,5.358541972292257
317,ancon,4.146983585196958
318,andro,4.957463986644745
319,anear,4.915453313852942
320,anele,5.061703892546197
321,anent,4.719221657998726
322,angas,4.037182965088351
323,anglo,4.739772403596169
324,anigh,4.584020544228653
325,anile,5.600095390730647
326,anils,5.127488196112798
327,anima,4.070737157031315
328,animi,3.9217452882975046
329,anion,4.358364183639854
330,anise,5.565907110729804
331,anker,4.996876027767617
332,ankhs,4.156565344401347
333,ankus,4.248638518057383
334,anlas,4.41609441397536
335,annal,3.757083924063102
336,annas,3.643596759927911
337,annat,3.856263285223012
338,anoas,4.475823259915208
339,anole,5.5650988752671795
340,anomy,4.588520383396072
341,ansae,4.830280468965142
342,antae,4.906317792288645
343,antar,4.727321916645994
344,antas,4.4334185866625155
345,anted,5.255622135421037
346,antes,5.384576709742592
347,antis,5.0551060642526835
348,antra,4.557793913756176
349,antre,5.6804715160071515
350,antsy,4.932570773764648
351,anura,4.374522209832912
352,anyon,4.071838011326546
353,apace,4.6154738985863055
354,apage,4.386043855711471
355,apaid,4.131770884514091
356,apayd,3.7879975632757135
357,apays,3.912982293293822
358,apeak,3.982301311562217
359,apeek,4.252661779636651
360,apers,5.187570003527338
361,apert,5.435186194824996
362,apery,5.04963577901926
363,apgar,4.1375864544780026
364,aphis,4.436853261448446
365,apian,4.305105010609073
366,apiol,4.9779237795747076
367,apish,4.736383628576135
368,apism,4.589758496300627
369,apode,5.027693281428674
370,apods,4.548129658706471
371,apoop,3.3824967403678667
372,aport,5.247026233485795
373,appal,3.438153834063749
374,appay,3.1703864948443172
375,appel,4.4250601830286165
376,appro,4.13029422694392
377,appui,3.623844285779725
378,appuy,3.578175961830213
379,apres,5.292662921591034
380,apses,4.35780054006394
381,apsis,4.013006303362534
382,apsos,4.0074505367024855
383,apted,5.042266445886596
384,apter,5.395488711615605
385,aquae,3.8408627626539475
386,aquas,3.4075466070123404
387,araba,3.573840780475588
388,araks,4.2512818277449
389,arame,4.885449787391026
390,arars,4.070758433195931
391,arbas,4.3057942066154995
392,arced,5.320179373202001
393,archi,4.730022922360872
394,arcos,5.1242069548146425
395,arcus,4.891735522030998
396,ardeb,5.054340243520411
397,ardri,4.346211176007382
398,aread,4.798783388995338
399,areae,4.648953650903763
400,areal,5.0209441362470395
401,arear,4.389427682782262
402,areas,4.924437179563929
403,areca,4.819726420232529
404,aredd,4.594655679818399
405,arede,5.024491046715877
406,arefy,4.9172188228121145
407,areic,5.398901177567609
408,arene,5.259769763671648
409,arepa,4.64057943452199
410,arere,4.611298789851516
